0,1,2,3,4,5,6,7,8,9,10
453,884,1827.0,2424.0,,,,,,,
1875,2240,,,,,,,,,
2862,2831,2889.0,,,,,,,,
1827,481,919.0,1050.0,,,,,,,
923,1857,1827.0,2442.0,2287.0,1827.0,,,,,
2889,2887,2875.0,2862.0,2777.0,,,,,,
2804,2885,2889.0,,,,,,,,
2420,141,,,,,,,,,
2420,2351,1207.0,,,,,,,,
1207,2420,,,,,,,,,
481,1050,875.0,,,,,,,,
2420,2337,,,,,,,,,
2420,2337,2351.0,1393.0,,,,,,,
2337,2420,,,,,,,,,
2158,2337,,,,,,,,,
1207,2420,2351.0,2523.0,,,,,,,
1207,2420,,,,,,,,,
2420,2337,2351.0,2329.0,1393.0,,,,,,
1207,2337,2420.0,,,,,,,,
1393,2420,2337.0,2351.0,,,,,,,
1827,2109,481.0,,,,,,,,
875,141,,,,,,,,,
1393,2351,,,,,,,,,
2117,2522,,,,,,,,,
1050,1888,,,,,,,,,
219,219,191.0,,,,,,,,
194,2287,,,,,,,,,
163,141,,,,,,,,,
196,220,,,,,,,,,
892,115,2454.0,2444.0,1998.0,,,,,,
191,141,,,,,,,,,
2329,1509,,,,,,,,,
2523,215,,,,,,,,,
141,985,,,,,,,,,
173,224,1901.0,,,,,,,,
894,2372,,,,,,,,,
480,192,2158.0,,,,,,,,
167,166,2528.0,,,,,,,,
1827,481,,,,,,,,,
894,141,,,,,,,,,
543,574,,,,,,,,,
1780,892,,,,,,,,,
891,2173,,,,,,,,,
1776,1780,541.0,,,,,,,,
1827,1780,,,,,,,,,
191,218,,,,,,,,,
1776,2817,,,,,,,,,
1774,1780,,,,,,,,,
1774,541,519.0,530.0,,,,,,,
129,1050,,,,,,,,,
1050,2424,,,,,,,,,
875,923,976.0,975.0,1443.0,1408.0,1780.0,541.0,,,
541,543,563.0,530.0,,,,,,,
1778,1275,1774.0,,,,,,,,
1642,2372,,,,,,,,,
1642,1642,,,,,,,,,
224,2337,2528.0,1882.0,,,,,,,
2442,1050,,,,,,,,,
2420,219,,,,,,,,,
558,1442,,,,,,,,,
2424,1827,,,,,,,,,
2483,2522,,,,,,,,,
1786,542,,,,,,,,,
194,141,563.0,,,,,,,,
2287,2424,1779.0,1827.0,1778.0,481.0,,,,,
1008,2477,,,,,,,,,
2865,2886,,,,,,,,,
2325,163,,,,,,,,,
541,1587,,,,,,,,,
224,2117,2660.0,,,,,,,,
1443,2446,,,,,,,,,
196,384,,,,,,,,,
481,481,,,,,,,,,
2864,2889,,,,,,,,,
541,543,,,,,,,,,
530,529,,,,,,,,,
1050,2357,2325.0,,,,,,,,
2446,1004,716.0,,,,,,,,
2424,1786,,,,,,,,,
884,975,,,,,,,,,
2040,481,992.0,,,,,,,,
2424,2424,,,,,,,,,
1823,2329,194.0,219.0,2817.0,,,,,,
2523,194,,,,,,,,,
2804,1641,,,,,,,,,
912,913,,,,,,,,,
1207,1408,2325.0,1050.0,1050.0,,,,,,
1050,220,,,,,,,,,
2173,1303,,,,,,,,,
2420,481,,,,,,,,,
574,2817,,,,,,,,,
2523,1050,,,,,,,,,
2095,2233,1748.0,,,,,,,,
1175,2191,,,,,,,,,
2284,2424,,,,,,,,,
223,481,150.0,68.0,1888.0,2523.0,,,,,
678,1796,2523.0,,,,,,,,
2804,2862,2889.0,2804.0,,,,,,,
1303,779,,,,,,,,,
678,1796,,,,,,,,,
543,1729,,,,,,,,,
1796,223,,,,,,,,,
2863,2889,2889.0,2863.0,,,,,,,
529,892,923.0,777.0,2045.0,1442.0,1457.0,,,,
1136,166,163.0,191.0,194.0,215.0,218.0,,,,
567,558,541.0,573.0,,,,,,,
2025,2491,,,,,,,,,
1858,2442,,,,,,,,,
567,2072,,,,,,,,,
65,190,481.0,481.0,542.0,687.0,2000.0,,,,
543,543,,,,,,,,,
167,141,,,,,,,,,
1778,1774,543.0,563.0,562.0,561.0,567.0,583.0,,,
2723,2641,,,,,,,,,
2454,1303,1771.0,647.0,194.0,,,,,,
92,191,,,,,,,,,
875,2117,,,,,,,,,
1857,1857,,,,,,,,,
1442,1812,,,,,,,,,
801,1252,,,,,,,,,
1587,223,,,,,,,,,
678,1008,,,,,,,,,
141,1796,,,,,,,,,
583,542,,,,,,,,,
2413,919,,,,,,,,,
1776,1780,,,,,,,,,
1776,1780,538.0,574.0,,,,,,,
1776,557,538.0,,,,,,,,
557,538,,,,,,,,,
1780,1776,,,,,,,,,
224,172,1827.0,2442.0,2424.0,,,,,,
1776,1780,538.0,,,,,,,,
1776,1780,,,,,,,,,
1776,1780,,,,,,,,,
481,481,,,,,,,,,
1776,1780,1777.0,,,,,,,,
1780,1776,,,,,,,,,
525,538,1776.0,,,,,,,,
1827,1796,,,,,,,,,
541,1776,,,,,,,,,
567,141,546.0,,,,,,,,
906,2528,,,,,,,,,
1776,538,2442.0,,,,,,,,
1777,1775,,,,,,,,,
678,2072,1823.0,,,,,,,,
2151,2072,1827.0,,,,,,,,
1440,2172,1830.0,,,,,,,,
1827,2072,2424.0,,,,,,,,
906,2199,2528.0,549.0,,,,,,,
2709,2743,2809.0,,,,,,,,
223,1827,2072.0,2173.0,,,,,,,
2424,2442,2183.0,2072.0,,,,,,,
2072,1827,2442.0,,,,,,,,
2528,2446,678.0,,,,,,,,
2424,2151,1442.0,,,,,,,,
2072,2173,2424.0,2528.0,,,,,,,
557,560,538.0,1774.0,,,,,,,
2028,2454,94.0,112.0,130.0,218.0,481.0,,,,
1776,2332,,,,,,,,,
678,2072,1827.0,,,,,,,,
140,219,,,,,,,,,
1796,481,,,,,,,,,
2072,1442,2424.0,,,,,,,,
906,1827,2442.0,,,,,,,,
2183,2072,1827.0,2442.0,2287.0,,,,,,
2333,2333,2333.0,,,,,,,,
163,481,1253.0,,,,,,,,
2723,2734,,,,,,,,,
2072,2199,2424.0,,,,,,,,
1827,2216,,,,,,,,,
884,2528,,,,,,,,,
2424,2070,,,,,,,,,
2108,2332,,,,,,,,,
2070,567,2442.0,1776.0,2151.0,,,,,,
224,2424,,,,,,,,,
2646,2817,,,,,,,,,
1744,2817,,,,,,,,,
166,906,678.0,,,,,,,,
1796,918,,,,,,,,,
1897,219,226.0,481.0,529.0,570.0,,,,,
2424,2424,,,,,,,,,
793,2817,,,,,,,,,
1775,1744,,,,,,,,,
2424,2050,,,,,,,,,
525,524,529.0,,,,,,,,
478,926,,,,,,,,,
481,481,,,,,,,,,
481,193,166.0,525.0,846.0,892.0,2041.0,,,,
2072,2442,,,,,,,,,
1408,481,,,,,,,,,
529,1078,1120.0,,,,,,,,
141,181,,,,,,,,,
1587,2523,2420.0,,,,,,,,
141,917,,,,,,,,,
141,166,,,,,,,,,
2424,1823,2072.0,2183.0,678.0,219.0,218.0,,,,
1799,2329,,,,,,,,,
2287,2424,1452.0,140.0,54.0,,,,,,
141,2424,140.0,220.0,166.0,,,,,,
678,567,558.0,,,,,,,,
891,1442,,,,,,,,,
2862,2889,,,,,,,,,
2501,1776,1780.0,538.0,,,,,,,
2287,2287,,,,,,,,,
2329,1442,884.0,524.0,,,,,,,
197,2424,,,,,,,,,
2889,2862,,,,,,,,,
1587,1799,,,,,,,,,
150,1897,1058.0,,,,,,,,
1587,779,816.0,,,,,,,,
678,191,192.0,2446.0,2070.0,1796.0,2183.0,2158.0,2054.0,2424.0,2528.0
2359,793,784.0,969.0,968.0,574.0,,,,,
1587,141,,,,,,,,,
196,220,1442.0,,,,,,,,
69,69,,,,,,,,,
2424,2424,1510.0,,,,,,,,
1587,1799,,,,,,,,,
1587,1799,1392.0,,,,,,,,
2147,797,,,,,,,,,
2424,2377,481.0,950.0,,,,,,,
2528,166,163.0,,,,,,,,
141,69,197.0,,,,,,,,
1428,816,,,,,,,,,
1405,800,220.0,678.0,2424.0,2287.0,,,,,
1827,2424,,,,,,,,,
921,557,215.0,194.0,2070.0,2528.0,1796.0,,,,
204,204,130.0,2325.0,,,,,,,
2287,1796,,,,,,,,,
1827,1796,2424.0,,,,,,,,
1827,2072,,,,,,,,,
1799,1587,,,,,,,,,
1774,1776,1777.0,1786.0,,,,,,,
793,921,141.0,2528.0,1827.0,1796.0,2151.0,1408.0,,,
562,2017,,,,,,,,,
453,166,,,,,,,,,
2284,1827,,,,,,,,,
2424,2424,,,,,,,,,
2057,1730,,,,,,,,,
731,655,,,,,,,,,
2199,2130,,,,,,,,,
163,2172,,,,,,,,,
163,166,141.0,194.0,191.0,,,,,,
2284,453,,,,,,,,,
2185,1190,,,,,,,,,
2232,197,,,,,,,,,
90,792,,,,,,,,,
1587,1799,,,,,,,,,
2329,2643,,,,,,,,,
2329,1587,1799.0,,,,,,,,
170,170,1796.0,,,,,,,,
1799,1587,2329.0,,,,,,,,
1799,1393,,,,,,,,,
2329,1823,,,,,,,,,
116,1516,,,,,,,,,
2070,2329,1442.0,,,,,,,,
223,223,,,,,,,,,
223,1799,678.0,,,,,,,,
94,968,891.0,1900.0,,,,,,,
191,140,166.0,163.0,166.0,,,,,,
116,194,,,,,,,,,
374,194,220.0,,,,,,,,
779,2329,,,,,,,,,
2883,2832,2832.0,2883.0,,,,,,,
950,401,,,,,,,,,
574,1045,,,,,,,,,
523,2404,,,,,,,,,
167,165,,,,,,,,,
523,537,557.0,1776.0,,,,,,,
1423,1827,,,,,,,,,
220,215,191.0,140.0,163.0,,,,,,
215,1303,,,,,,,,,
215,1799,,,,,,,,,
875,875,,,,,,,,,
1827,374,,,,,,,,,
2158,2142,2359.0,2205.0,,,,,,,
557,565,583.0,,,,,,,,
82,793,,,,,,,,,
141,166,,,,,,,,,
567,537,2424.0,,,,,,,,
2424,2359,,,,,,,,,
166,166,,,,,,,,,
2329,2424,1799.0,,,,,,,,
1799,2329,,,,,,,,,
2329,1443,975.0,884.0,,,,,,,
191,884,975.0,,,,,,,,
2659,2659,,,,,,,,,
2424,2072,2199.0,1799.0,1827.0,,,,,,
2148,1308,2359.0,165.0,985.0,,,,,,
2072,2072,,,,,,,,,
976,223,,,,,,,,,
1854,2778,,,,,,,,,
2736,2734,,,,,,,,,
779,797,,,,,,,,,
1442,2329,2528.0,,,,,,,,
921,2424,1835.0,,,,,,,,
2474,481,,,,,,,,,
2734,2735,,,,,,,,,
65,2424,,,,,,,,,
2523,1442,,,,,,,,,
2735,2734,,,,,,,,,
215,797,,,,,,,,,
1078,1120,2158.0,226.0,119.0,,,,,,
2424,891,2070.0,,,,,,,,
2424,191,1442.0,,,,,,,,
574,545,,,,,,,,,
2883,2862,2778.0,,,,,,,,
2446,2404,,,,,,,,,
789,1813,,,,,,,,,
116,2357,,,,,,,,,
163,166,191.0,191.0,1442.0,2336.0,,,,,
797,523,1780.0,,,,,,,,
2424,2158,2424.0,150.0,,,,,,,
797,163,2817.0,,,,,,,,
530,215,1780.0,1776.0,,,,,,,
191,194,223.0,163.0,2446.0,,,,,,
923,2424,,,,,,,,,
2736,2863,,,,,,,,,
70,1799,,,,,,,,,
191,543,,,,,,,,,
1164,1163,,,,,,,,,
875,921,166.0,2538.0,,,,,,,
220,2424,116.0,,,,,,,,
220,223,166.0,,,,,,,,
150,1182,,,,,,,,,
220,194,,,,,,,,,
917,220,,,,,,,,,
2055,2055,,,,,,,,,
2424,2474,1031.0,,,,,,,,
163,1442,1520.0,952.0,1004.0,,,,,,
975,891,561.0,140.0,,,,,,,
1953,2424,,,,,,,,,
219,166,,,,,,,,,
197,140,537.0,2817.0,,,,,,,
224,182,,,,,,,,,
2329,70,,,,,,,,,
681,488,,,,,,,,,
1748,1650,,,,,,,,,
891,2424,,,,,,,,,
2424,678,,,,,,,,,
194,215,,,,,,,,,
2736,2735,2734.0,,,,,,,,
194,891,,,,,,,,,
481,2329,,,,,,,,,
2652,2652,,,,,,,,,
950,919,520.0,,,,,,,,
1442,2424,,,,,,,,,
2528,2173,216.0,,,,,,,,
875,1748,,,,,,,,,
574,573,581.0,374.0,,,,,,,
542,525,,,,,,,,,
116,191,223.0,,,,,,,,
2199,1827,1823.0,,,,,,,,
2424,481,219.0,,,,,,,,
1443,1408,875.0,,,,,,,,
2547,2741,,,,,,,,,
2723,2736,,,,,,,,,
1531,2424,378.0,,,,,,,,
790,2199,,,,,,,,,
2424,2442,541.0,374.0,,,,,,,
1827,2072,2216.0,2528.0,166.0,875.0,,,,,
524,975,1443.0,,,,,,,,
793,561,,,,,,,,,
2055,2055,,,,,,,,,
177,2424,1552.0,1096.0,,,,,,,
560,548,,,,,,,,,
194,215,,,,,,,,,
875,1408,,,,,,,,,
1827,1823,2424.0,2442.0,541.0,481.0,,,,,
1823,1827,2216.0,2424.0,,,,,,,
1278,2424,1031.0,,,,,,,,
219,2424,2528.0,1827.0,1823.0,678.0,678.0,2424.0,2216.0,,
793,1773,,,,,,,,,
166,800,541.0,,,,,,,,
2424,2173,,,,,,,,,
800,75,2781.0,,,,,,,,
90,224,195.0,800.0,797.0,1796.0,541.0,,,,
1748,1008,,,,,,,,,
1776,525,,,,,,,,,
1827,2442,,,,,,,,,
1775,2528,541.0,220.0,678.0,2424.0,1823.0,1827.0,,,
1744,1734,1729.0,,,,,,,,
2830,2830,2117.0,,,,,,,,
